"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V6","mRNAstrand","V8","V9","DMLchromosome","DMLstart","DMLend","DMR","Percentdiff","ID","Parent","Dbxref=GeneID","V18","V19","Name","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"13","XM_022443616.1","sp","Q16720","AT2B3_HUMAN",65.43,784,254,4,1402,3741,352,1122,0,1037,"NC_035787.1","Gnomon","mRNA",52816481,52816482,".","-",".","ID=rna54732;Parent=gene31692;Dbxref=GeneID:111108086,Genbank:XM_022443616.1;Name=XM_022443616.1;gbkey=mRNA;gene=LOC111108086;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X8;transcript_id=XM_022443616.1","NC_035787.1",52816480,52816482,"+",-58,"ID=rna54732","Parent=gene31692","Dbxref=GeneID",111108086,"Genbank","Name=XM_022443616.1","gbkey=mRNA","gene=LOC111108086","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X8","transcript_id=XM_022443616.1","","",""
"14","XM_022443621.1","sp","Q16720","AT2B3_HUMAN",60.07,273,98,1,403,1188,22,294,5e-75,279,"NC_035787.1","Gnomon","mRNA",52816481,52816482,".","-",".","ID=rna54733;Parent=gene31692;Dbxref=GeneID:111108086,Genbank:XM_022443621.1;Name=XM_022443621.1;gbkey=mRNA;gene=LOC111108086;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X13;transcript_id=XM_022443621.1","NC_035787.1",52816480,52816482,"+",-58,"ID=rna54733","Parent=gene31692","Dbxref=GeneID",111108086,"Genbank","Name=XM_022443621.1","gbkey=mRNA","gene=LOC111108086","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X13","transcript_id=XM_022443621.1","","",""
"15","XM_022443621.1","sp","Q16720","AT2B3_HUMAN",65.43,784,254,4,1498,3837,352,1122,0,1037,"NC_035787.1","Gnomon","mRNA",52816481,52816482,".","-",".","ID=rna54733;Parent=gene31692;Dbxref=GeneID:111108086,Genbank:XM_022443621.1;Name=XM_022443621.1;gbkey=mRNA;gene=LOC111108086;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X13;transcript_id=XM_022443621.1","NC_035787.1",52816480,52816482,"+",-58,"ID=rna54733","Parent=gene31692","Dbxref=GeneID",111108086,"Genbank","Name=XM_022443621.1","gbkey=mRNA","gene=LOC111108086","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X13","transcript_id=XM_022443621.1","","",""
"16","XM_022443624.1","sp","Q16720","AT2B3_HUMAN",65.43,784,254,4,1254,3593,352,1122,0,1037,"NC_035787.1","Gnomon","mRNA",52816481,52816482,".","-",".","ID=rna54734;Parent=gene31692;Dbxref=GeneID:111108086,Genbank:XM_022443624.1;Name=XM_022443624.1;gbkey=mRNA;gene=LOC111108086;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X16;transcript_id=XM_022443624.1","NC_035787.1",52816480,52816482,"+",-58,"ID=rna54734","Parent=gene31692","Dbxref=GeneID",111108086,"Genbank","Name=XM_022443624.1","gbkey=mRNA","gene=LOC111108086","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X16","transcript_id=XM_022443624.1","","",""
"17","XM_022443624.1","sp","Q16720","AT2B3_HUMAN",60.07,273,98,1,159,944,22,294,4e-75,279,"NC_035787.1","Gnomon","mRNA",52816481,52816482,".","-",".","ID=rna54734;Parent=gene31692;Dbxref=GeneID:111108086,Genbank:XM_022443624.1;Name=XM_022443624.1;gbkey=mRNA;gene=LOC111108086;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X16;transcript_id=XM_022443624.1","NC_035787.1",52816480,52816482,"+",-58,"ID=rna54734","Parent=gene31692","Dbxref=GeneID",111108086,"Genbank","Name=XM_022443624.1","gbkey=mRNA","gene=LOC111108086","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=plasma membrane calcium-transporting ATPase 2-like%2C transcript variant X16","transcript_id=XM_022443624.1","","",""
"18","XM_022445912.1","sp","Q640L2","SPX3_XENLA",53.31,529,204,5,109,1695,18,503,3e-180,536,"NC_035787.1","Gnomon","mRNA",3980088,3980089,".","+",".","ID=rna49897;Parent=gene28783;Dbxref=GeneID:111109693,Genbank:XM_022445912.1;Name=XM_022445912.1;gbkey=mRNA;gene=LOC111109693;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=sugar phosphate exchanger 3-like%2C transcript variant X1;transcript_id=XM_022445912.1","NC_035787.1",3980087,3980089,"-",-57,"ID=rna49897","Parent=gene28783","Dbxref=GeneID",111109693,"Genbank","Name=XM_022445912.1","gbkey=mRNA","gene=LOC111109693","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns","product=sugar phosphate exchanger 3-like%2C transcript variant X1","transcript_id=XM_022445912.1","","",""
"19","XM_022445913.1","sp","Q640L2","SPX3_XENLA",54.29,525,198,7,109,1674,18,503,0,539,"NC_035787.1","Gnomon","mRNA",3980088,3980089,".","+",".","ID=rna49898;Parent=gene28783;Dbxref=GeneID:111109693,Genbank:XM_022445913.1;Name=XM_022445913.1;gbkey=mRNA;gene=LOC111109693;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=sugar phosphate exchanger 3-like%2C transcript variant X2;transcript_id=XM_022445913.1","NC_035787.1",3980087,3980089,"-",-57,"ID=rna49898","Parent=gene28783","Dbxref=GeneID",111109693,"Genbank","Name=XM_022445913.1","gbkey=mRNA","gene=LOC111109693","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns","product=sugar phosphate exchanger 3-like%2C transcript variant X2","transcript_id=XM_022445913.1","","",""
"20","XM_022445914.1","sp","Q640L2","SPX3_XENLA",54.81,520,198,6,109,1659,18,503,0,541,"NC_035787.1","Gnomon","mRNA",3980088,3980089,".","+",".","ID=rna49899;Parent=gene28783;Dbxref=GeneID:111109693,Genbank:XM_022445914.1;Name=XM_022445914.1;gbkey=mRNA;gene=LOC111109693;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=sugar phosphate exchanger 3-like%2C transcript variant X3;transcript_id=XM_022445914.1","NC_035787.1",3980087,3980089,"-",-57,"ID=rna49899","Parent=gene28783","Dbxref=GeneID",111109693,"Genbank","Name=XM_022445914.1","gbkey=mRNA","gene=LOC111109693","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=sugar phosphate exchanger 3-like%2C transcript variant X3","transcript_id=XM_022445914.1","","",""
"21","XM_022445915.1","sp","Q640L2","SPX3_XENLA",55.56,513,198,7,109,1638,18,503,0,543,"NC_035787.1","Gnomon","mRNA",3980088,3980089,".","+",".","ID=rna49900;Parent=gene28783;Dbxref=GeneID:111109693,Genbank:XM_022445915.1;Name=XM_022445915.1;gbkey=mRNA;gene=LOC111109693;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=sugar phosphate exchanger 3-like%2C transcript variant X4;transcript_id=XM_022445915.1","NC_035787.1",3980087,3980089,"-",-57,"ID=rna49900","Parent=gene28783","Dbxref=GeneID",111109693,"Genbank","Name=XM_022445915.1","gbkey=mRNA","gene=LOC111109693","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=sugar phosphate exchanger 3-like%2C transcript variant X4","transcript_id=XM_022445915.1","","",""
"22","XM_022448593.1","sp","Q8IYB1","M21D2_HUMAN",25,168,104,5,608,1090,233,385,3e-08,60.8,"NC_035788.1","Gnomon","mRNA",61979089,61979090,".","+",".","ID=rna61578;Parent=gene35898;Dbxref=GeneID:111111548,Genbank:XM_022448593.1;Name=XM_022448593.1;gbkey=mRNA;gene=LOC111111548;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=uncharacterized LOC111111548;transcript_id=XM_022448593.1","NC_035788.1",61979088,61979090,"-",-53,"ID=rna61578","Parent=gene35898","Dbxref=GeneID",111111548,"Genbank","Name=XM_022448593.1","gbkey=mRNA","gene=LOC111111548","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns","product=uncharacterized LOC111111548","transcript_id=XM_022448593.1","","",""
"23","XM_022453332.1","sp","P28289","TMOD1_HUMAN",44.69,311,169,3,179,1105,36,345,3e-64,225,"NC_035788.1","Gnomon","mRNA",92754574,92754575,".","+",".","ID=rna64180;Parent=gene37444;Dbxref=GeneID:111114836,Genbank:XM_022453332.1;Name=XM_022453332.1;gbkey=mRNA;gene=LOC111114836;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=tropomodulin-like%2C transcript variant X1;transcript_id=XM_022453332.1","NC_035788.1",92754573,92754575,"+",68,"ID=rna64180","Parent=gene37444","Dbxref=GeneID",111114836,"Genbank","Name=XM_022453332.1","gbkey=mRNA","gene=LOC111114836","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns","product=tropomodulin-like%2C transcript variant X1","transcript_id=XM_022453332.1","","",""
"24","XM_022453333.1","sp","P28289","TMOD1_HUMAN",44.69,311,169,3,203,1129,36,345,4e-64,225,"NC_035788.1","Gnomon","mRNA",92754574,92754575,".","+",".","ID=rna64177;Parent=gene37444;Dbxref=GeneID:111114836,Genbank:XM_022453333.1;Name=XM_022453333.1;gbkey=mRNA;gene=LOC111114836;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=tropomodulin-like%2C transcript variant X2;transcript_id=XM_022453333.1","NC_035788.1",92754573,92754575,"+",68,"ID=rna64177","Parent=gene37444","Dbxref=GeneID",111114836,"Genbank","Name=XM_022453333.1","gbkey=mRNA","gene=LOC111114836","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns","product=tropomodulin-like%2C transcript variant X2","transcript_id=XM_022453333.1","","",""
"25","XM_022453334.1","sp","P28289","TMOD1_HUMAN",44.69,311,169,3,375,1301,36,345,3e-64,226,"NC_035788.1","Gnomon","mRNA",92754574,92754575,".","+",".","ID=rna64179;Parent=gene37444;Dbxref=GeneID:111114836,Genbank:XM_022453334.1;Name=XM_022453334.1;gbkey=mRNA;gene=LOC111114836;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 16 samples with support for all annotated introns;product=tropomodulin-like%2C transcript variant X3;transcript_id=XM_022453334.1","NC_035788.1",92754573,92754575,"+",68,"ID=rna64179","Parent=gene37444","Dbxref=GeneID",111114836,"Genbank","Name=XM_022453334.1","gbkey=mRNA","gene=LOC111114836","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 16 samples with support for all annotated introns","product=tropomodulin-like%2C transcript variant X3","transcript_id=XM_022453334.1","","",""
"26","XM_022453335.1","sp","P28289","TMOD1_HUMAN",44.69,311,169,3,380,1306,36,345,5e-64,225,"NC_035788.1","Gnomon","mRNA",92754574,92754575,".","+",".","ID=rna64178;Parent=gene37444;Dbxref=GeneID:111114836,Genbank:XM_022453335.1;Name=XM_022453335.1;gbkey=mRNA;gene=LOC111114836;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 19 samples with support for all annotated introns;product=tropomodulin-like%2C transcript variant X4;transcript_id=XM_022453335.1","NC_035788.1",92754573,92754575,"+",68,"ID=rna64178","Parent=gene37444","Dbxref=GeneID",111114836,"Genbank","Name=XM_022453335.1","gbkey=mRNA","gene=LOC111114836","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 19 samples with support for all annotated introns","product=tropomodulin-like%2C transcript variant X4","transcript_id=XM_022453335.1","","",""
"27","XM_022458460.1","sp","A1L253","F149B_DANRE",30.27,479,280,17,993,2330,100,557,3e-35,147,"NC_035781.1","Gnomon","mRNA",49000883,49000884,".","-",".","ID=rna12131;Parent=gene7200;Dbxref=GeneID:111118823,Genbank:XM_022458460.1;Name=XM_022458460.1;gbkey=mRNA;gene=LOC111118823;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=protein FAM149B1-like%2C transcript variant X1;transcript_id=XM_022458460.1","NC_035781.1",49000882,49000884,"+",58,"ID=rna12131","Parent=gene7200","Dbxref=GeneID",111118823,"Genbank","Name=XM_022458460.1","gbkey=mRNA","gene=LOC111118823","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns","product=protein FAM149B1-like%2C transcript variant X1","transcript_id=XM_022458460.1","","",""
