"","chr","start","end","meth.diff","strand","pvalue","qvalue","intron-start","intron-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"44","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32764085,32800756,"XM_022486734.1","Q9C0H5","RHG39_HUMAN",3e-41,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"45","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32769864,32800756,"XM_022486761.1","Q9C0H5","RHG39_HUMAN",1e-22,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"46","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32781557,32800756,"XM_022486782.1","Q9C0H5","RHG39_HUMAN",7e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"47","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32769864,32800756,"XM_022486761.1","Q9C0H5","RHG39_HUMAN",3e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"48","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32764085,32800756,"XM_022486734.1","Q9C0H5","RHG39_HUMAN",2e-161,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"49","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32754200,32800756,"XM_022486743.1","Q9C0H5","RHG39_HUMAN",2e-41,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"50","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32760682,32800756,"XM_022486726.1","Q9C0H5","RHG39_HUMAN",5e-161,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"51","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32774894,32800756,"XM_022486752.1","Q9C0H5","RHG39_HUMAN",6e-22,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"52","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32760682,32800756,"XM_022486715.1","Q9C0H5","RHG39_HUMAN",1e-40,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"53","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32780043,32800756,"XM_022486769.1","Q9C0H5","RHG39_HUMAN",3e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"54","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32754200,32800756,"XM_022486743.1","Q9C0H5","RHG39_HUMAN",6e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"55","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32780044,32800756,"XM_022486775.1","Q9C0H5","RHG39_HUMAN",2e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"56","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32785998,32800756,"XM_022486791.1","Q9C0H5","RHG39_HUMAN",8e-163,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"57","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32746900,32773125,"111136152",32746900,32773125,"XM_022486810.1","Q5ZKQ7","GID8_CHICK",2e-85,"glucose-induced degradation protein 8 homolog",NA,NA,NA,NA
"58","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32774894,32800756,"XM_022486752.1","Q9C0H5","RHG39_HUMAN",6e-162,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"59","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32746900,32773125,"111136152",32746900,32754148,"XM_022486802.1","Q6PC55","GID8_DANRE",3e-85,"glucose-induced degradation protein 8 homolog",NA,NA,NA,NA
"60","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32760682,32800756,"XM_022486715.1","Q9C0H5","RHG39_HUMAN",6e-161,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"61","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32760682,32800756,"XM_022486726.1","Q9C0H5","RHG39_HUMAN",4e-43,"rho GTPase-activating protein 39-like","GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007165; GO:0051056; GO:0098978; GO:0099173","postsynapse organization [GO:0099173]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]","GTPase activator activity [GO:0005096]"
"65","NC_035780.1",38236494,38236494,50.4091954022988,"+",9.95989456119202e-14,3.79895752678737e-12,38236121,38236506,38209799,38243110,"111122940",38225040,38243110,"XM_022465051.1","Q80U16","RIPR2_MOUSE",2e-61,"rho family-interacting cell polarization regulator 2-like","GO:0005737; GO:0005856; GO:0006935; GO:0007155; GO:0007162; GO:0007605; GO:0016324; GO:0030175; GO:0032420; GO:0035024; GO:0042130; GO:0042802; GO:0045184; GO:0045663; GO:0048741; GO:0051260; GO:0051491; GO:0060088; GO:0060171; GO:0071158; GO:0071260; GO:0071889; GO:0090023; GO:1901673; GO:1901741; GO:1903904; GO:1905872; GO:1990869; GO:2000114; GO:2000391; GO:2000405; GO:2001107","auditory receptor cell stereocilium organization [GO:0060088]; cell adhesion [GO:0007155]; cellular response to chemokine [GO:1990869]; cellular response to mechanical stimulus [GO:0071260]; chemotaxis [GO:0006935]; establishment of protein localization [GO:0045184]; negative regulation of cell adhesion [GO:0007162]; negative regulation of establishment of T cell polarity [GO:1903904]; negative regulation of protein localization to cell leading edge [GO:1905872]; negative regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001107]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of T cell migration [GO:2000405]; negative regulation of T cell proliferation [GO:0042130]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of neutrophil extravasation [GO:2000391]; protein homooligomerization [GO:0051260]; regulation of establishment of cell polarity [GO:2000114]; regulation of mitotic spindle assembly [GO:1901673]; sensory perception of sound [GO:0007605]; skeletal muscle fiber development [GO:0048741]","apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; filopodium [GO:0030175]; stereocilium [GO:0032420]; stereocilium membrane [GO:0060171]","14-3-3 protein binding [GO:0071889]; identical protein binding [GO:0042802]"
"66","NC_035780.1",38236494,38236494,50.4091954022988,"+",9.95989456119202e-14,3.79895752678737e-12,38236121,38236506,38209799,38243110,"111122940",38223116,38243110,"XM_022465034.1","Q80U16","RIPR2_MOUSE",2e-61,"rho family-interacting cell polarization regulator 2-like","GO:0005737; GO:0005856; GO:0006935; GO:0007155; GO:0007162; GO:0007605; GO:0016324; GO:0030175; GO:0032420; GO:0035024; GO:0042130; GO:0042802; GO:0045184; GO:0045663; GO:0048741; GO:0051260; GO:0051491; GO:0060088; GO:0060171; GO:0071158; GO:0071260; GO:0071889; GO:0090023; GO:1901673; GO:1901741; GO:1903904; GO:1905872; GO:1990869; GO:2000114; GO:2000391; GO:2000405; GO:2001107","auditory receptor cell stereocilium organization [GO:0060088]; cell adhesion [GO:0007155]; cellular response to chemokine [GO:1990869]; cellular response to mechanical stimulus [GO:0071260]; chemotaxis [GO:0006935]; establishment of protein localization [GO:0045184]; negative regulation of cell adhesion [GO:0007162]; negative regulation of establishment of T cell polarity [GO:1903904]; negative regulation of protein localization to cell leading edge [GO:1905872]; negative regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001107]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of T cell migration [GO:2000405]; negative regulation of T cell proliferation [GO:0042130]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of neutrophil extravasation [GO:2000391]; protein homooligomerization [GO:0051260]; regulation of establishment of cell polarity [GO:2000114]; regulation of mitotic spindle assembly [GO:1901673]; sensory perception of sound [GO:0007605]; skeletal muscle fiber development [GO:0048741]","apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; filopodium [GO:0030175]; stereocilium [GO:0032420]; stereocilium membrane [GO:0060171]","14-3-3 protein binding [GO:0071889]; identical protein binding [GO:0042802]"
"67","NC_035780.1",38236494,38236494,50.4091954022988,"+",9.95989456119202e-14,3.79895752678737e-12,38236121,38236506,38209799,38243110,"111122940",38209799,38243110,"XM_022464980.1","Q80U16","RIPR2_MOUSE",3e-61,"rho family-interacting cell polarization regulator 2-like","GO:0005737; GO:0005856; GO:0006935; GO:0007155; GO:0007162; GO:0007605; GO:0016324; GO:0030175; GO:0032420; GO:0035024; GO:0042130; GO:0042802; GO:0045184; GO:0045663; GO:0048741; GO:0051260; GO:0051491; GO:0060088; GO:0060171; GO:0071158; GO:0071260; GO:0071889; GO:0090023; GO:1901673; GO:1901741; GO:1903904; GO:1905872; GO:1990869; GO:2000114; GO:2000391; GO:2000405; GO:2001107","auditory receptor cell stereocilium organization [GO:0060088]; cell adhesion [GO:0007155]; cellular response to chemokine [GO:1990869]; cellular response to mechanical stimulus [GO:0071260]; chemotaxis [GO:0006935]; establishment of protein localization [GO:0045184]; negative regulation of cell adhesion [GO:0007162]; negative regulation of establishment of T cell polarity [GO:1903904]; negative regulation of protein localization to cell leading edge [GO:1905872]; negative regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001107]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of T cell migration [GO:2000405]; negative regulation of T cell proliferation [GO:0042130]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of neutrophil extravasation [GO:2000391]; protein homooligomerization [GO:0051260]; regulation of establishment of cell polarity [GO:2000114]; regulation of mitotic spindle assembly [GO:1901673]; sensory perception of sound [GO:0007605]; skeletal muscle fiber development [GO:0048741]","apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; filopodium [GO:0030175]; stereocilium [GO:0032420]; stereocilium membrane [GO:0060171]","14-3-3 protein binding [GO:0071889]; identical protein binding [GO:0042802]"
"68","NC_035780.1",38236494,38236494,50.4091954022988,"+",9.95989456119202e-14,3.79895752678737e-12,38236121,38236506,38209799,38243110,"111122940",38225898,38243110,"XM_022465062.1","Q5F3L9","RIPR2_CHICK",1e-61,"rho family-interacting cell polarization regulator 2-like",NA,NA,NA,NA
