"","chr","start","end","meth.diff","strand","pvalue","qvalue","intron-start","intron-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"11","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,2538955,2541768,2524425,2553408,"111131682",2524425,2547594,"XM_022479329.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like","GO:0001786; GO:0005548; GO:0005783; GO:0005789; GO:0005829; GO:0008289; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0016021; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0032934; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204","activation of protein kinase B activity [GO:0032148]; fat cell differentiation [GO:0045444]; negative regulation of cell migration [GO:0030336]; negative regulation of sequestering of triglyceride [GO:0010891]; phospholipid transport [GO:0015914]; positive regulation of glucose import [GO:0046326]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; protein localization to nuclear pore [GO:0090204]","cortical endoplasmic reticulum [GO:0032541]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nuclear membrane [GO:0031965]","cholesterol binding [GO:0015485]; lipid binding [GO:0008289]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]"
"12","NC_035780.1",2584493,2584493,56.4664786447676,"+",3.12717630109529e-57,9.28810093887902e-54,2584153,2584504,2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog","GO:0000122; GO:0000993; GO:0001711; GO:0001826; GO:0001829; GO:0001832; GO:0001835; GO:0005654; GO:0006366; GO:0006368; GO:0007259; GO:0010390; GO:0016055; GO:0016567; GO:0016593; GO:0016607; GO:0019827; GO:0032968; GO:0033523; GO:0035327; GO:0042169; GO:0045638; GO:0045944; GO:0051569; GO:0051571; GO:0070102; GO:0071222; GO:0080182; GO:1900364; GO:2000653; GO:2001162; GO:2001168","blastocyst growth [GO:0001832]; blastocyst hatching [GO:0001835]; cellular response to lipopolysaccharide [GO:0071222]; endodermal cell fate commitment [GO:0001711]; histone H2B ubiquitination [GO:0033523]; histone H3-K4 trimethylation [GO:0080182]; histone monoubiquitination [GO:0010390]; inner cell mass cell differentiation [GO:0001826]; interleukin-6-mediated signaling pathway [GO:0070102]; negative regulation of mRNA polyadenylation [GO:1900364]; negative regulation of myeloid cell differentiation [GO:0045638]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of histone H2B ubiquitination [GO:2001168]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H3-K79 methylation [GO:2001162]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein ubiquitination [GO:0016567]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of genetic imprinting [GO:2000653]; regulation of histone H3-K4 methylation [GO:0051569]; stem cell population maintenance [GO:0019827]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; trophectodermal cell differentiation [GO:0001829]; Wnt signaling pathway [GO:0016055]","Cdc73/Paf1 complex [GO:0016593]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; transcriptionally active chromatin [GO:0035327]","RNA polymerase II complex binding [GO:0000993]; SH2 domain binding [GO:0042169]"
"13","NC_035780.1",4288214,4288214,-58.168449197861,"+",1.03297953561797e-29,2.74460576897546e-27,4288128,4288230,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",5e-06,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
"14","NC_035780.1",4288214,4288214,-58.168449197861,"+",1.03297953561797e-29,2.74460576897546e-27,4288128,4288230,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",2e-37,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
"15","NC_035780.1",4288214,4288214,-58.168449197861,"+",1.03297953561797e-29,2.74460576897546e-27,4288128,4288230,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",1e-79,"calmodulin-regulated spectrin-associated protein 1-like","GO:0000226; GO:0005516; GO:0005737; GO:0005874; GO:0007010; GO:0007026; GO:0008017; GO:0022604; GO:0030507; GO:0031113; GO:0031122; GO:0031175; GO:0051011","cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]; regulation of cell morphogenesis [GO:0022604]; regulation of microtubule polymerization [GO:0031113]","cytoplasm [GO:0005737]; microtubule [GO:0005874]","calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]"
"16","NC_035780.1",8833125,8833125,60.1254480286738,"+",1.87756815984505e-15,9.11352604694824e-14,8832171,8833699,8829533,8833841,"111138481",8829533,8833841,"XM_022490472.1","Q8BTK5","SMYD4_MOUSE",4e-49,"SET and MYND domain-containing protein 4-like",NA,NA,NA,NA
"17","NC_035780.1",17488959,17488959,-57.0731707317073,"+",5.71400122627172e-26,1.01033910321041e-23,17488942,17489178,17457431,17541765,"111120886",17457431,17541765,"XM_022461910.1","Q9NU22","MDN1_HUMAN",0,"midasin-like",NA,NA,NA,NA
"18","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22144200,22228175,"111126605",22144258,22195974,"XM_022471362.1","Q9ULU4","PKCB1_HUMAN",2e-14,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"19","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22144200,22228175,"111126605",22144228,22218222,"XM_022471370.1","A8GH44","PDXB_SERP5",0.44,"uncharacterized LOC111126605",NA,NA,NA,NA
"20","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22144200,22228175,"111126605",22144200,22151499,"XM_022471406.1","Q9ULU4","PKCB1_HUMAN",2e-13,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"21","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22144200,22228175,"111126605",22207238,22228175,"XM_022471397.1","Q9ULU4","PKCB1_HUMAN",1e-14,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"22","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22071505,22257650,"111126660",22071505,22257650,"XM_022471452.1","A8GH44","PDXB_SERP5",0.1,"uncharacterized LOC111126660",NA,NA,NA,NA
"23","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22144200,22228175,"111126605",22183787,22195974,"XM_022471379.1","Q9ULU4","PKCB1_HUMAN",1e-14,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"24","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22071505,22257650,"111126660",22248003,22257647,"XM_022471459.1","A8GH44","PDXB_SERP5",0.11,"uncharacterized LOC111126660",NA,NA,NA,NA
"25","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22144200,22228175,"111126605",22210805,22228175,"XM_022471388.1","Q9ULU4","PKCB1_HUMAN",1e-14,"uncharacterized LOC111126605","GO:0003714; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0019904; GO:0030336; GO:0035064; GO:0043197; GO:0043198; GO:0047485; GO:0051491; GO:0060999; GO:0070491; GO:0070577; GO:0098815; GO:1902897; GO:1902952","modulation of excitatory postsynaptic potential [GO:0098815]; negative regulation of cell migration [GO:0030336]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of filopodium assembly [GO:0051491]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; regulation of transcription, DNA-templated [GO:0006355]","cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; nucleus [GO:0005634]","lysine-acetylated histone binding [GO:0070577]; methylated histone binding [GO:0035064]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]"
"26","NC_035780.1",25858298,25858298,-51.3262093311707,"+",1.62846067324196e-27,3.4227911653837e-25,25858281,25863048,25822372,25884623,"111135015",25851514,25884623,"XM_022484733.1","P70365","NCOA1_MOUSE",7e-66,"nuclear receptor coactivator 2-like",NA,NA,NA,NA
"27","NC_035780.1",25858298,25858298,-51.3262093311707,"+",1.62846067324196e-27,3.4227911653837e-25,25858281,25863048,25822372,25884623,"111135015",25848611,25884623,"XM_022484748.1","P70365","NCOA1_MOUSE",4e-66,"nuclear receptor coactivator 2-like",NA,NA,NA,NA
"28","NC_035780.1",25858298,25858298,-51.3262093311707,"+",1.62846067324196e-27,3.4227911653837e-25,25858281,25863048,25822372,25884623,"111135015",25845397,25884623,"XM_022484725.1","P70365","NCOA1_MOUSE",9e-66,"nuclear receptor coactivator 2-like",NA,NA,NA,NA
