"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V6","mRNAstrand","V8","V9","DMRchromosome","DMRstart","DMRend","DMR","Percentdiff","ID","Parent","Dbxref=GeneID","V18","V19","V20","Name","V22","V23","V24","V25","V26","V27","V28","V29","NA"
"12","XM_022433693.1","sp","Q8K2R5","ZN668_MOUSE",30.95,84,51,2,3795,4046,518,594,0.002,47,"NC_035780.1","Gnomon","mRNA",281696,293861,".","+",".","ID=rna27;Parent=gene19;Dbxref=GeneID:111101250,Genbank:XM_022433693.1;Name=XM_022433693.1;gbkey=mRNA;gene=LOC111101250;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns;product=uncharacterized LOC111101250%2C transcript variant X2;transcript_id=XM_022433693.1","NC_035780.1",571100,571200,"DMR",58,277240,"ID=rna27","Parent=gene19","Dbxref=GeneID",111101250,"Genbank","Name=XM_022433693.1","gbkey=mRNA","gene=LOC111101250","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=uncharacterized LOC111101250%2C transcript variant X2","transcript_id=XM_022433693.1","","",""
"13","XM_022433693.1","sp","Q8K2R5","ZN668_MOUSE",22.22,612,367,18,2862,4562,17,564,1e-16,89.7,"NC_035780.1","Gnomon","mRNA",281696,293861,".","+",".","ID=rna27;Parent=gene19;Dbxref=GeneID:111101250,Genbank:XM_022433693.1;Name=XM_022433693.1;gbkey=mRNA;gene=LOC111101250;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns;product=uncharacterized LOC111101250%2C transcript variant X2;transcript_id=XM_022433693.1","NC_035780.1",571100,571200,"DMR",58,277240,"ID=rna27","Parent=gene19","Dbxref=GeneID",111101250,"Genbank","Name=XM_022433693.1","gbkey=mRNA","gene=LOC111101250","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=uncharacterized LOC111101250%2C transcript variant X2","transcript_id=XM_022433693.1","","",""
"14","XM_022433705.1","sp","P78344","IF4G2_HUMAN",47.62,903,411,15,257,2893,30,894,0,769,"NC_035780.1","Gnomon","mRNA",297131,311654,".","+",".","ID=rna28;Parent=gene20;Dbxref=GeneID:111101262,Genbank:XM_022433705.1;Name=XM_022433705.1;gbkey=mRNA;gene=LOC111101262;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 25 samples with support for all annotated introns;product=eukaryotic translation initiation factor 4 gamma 2-like;transcript_id=XM_022433705.1","NC_035780.1",571100,571200,"DMR",58,259447,"ID=rna28","Parent=gene20","Dbxref=GeneID",111101262,"Genbank","Name=XM_022433705.1","gbkey=mRNA","gene=LOC111101262","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 25 samples with support for all annotated introns","product=eukaryotic translation initiation factor 4 gamma 2-like","transcript_id=XM_022433705.1","","",""
"15","XM_022433714.1","sp","Q5R7D0","COX18_PONAB",34.58,214,135,2,447,1088,75,283,4e-34,135,"NC_035780.1","Gnomon","mRNA",273173,278473,".","+",".","ID=rna25;Parent=gene18;Dbxref=GeneID:111101273,Genbank:XM_022433714.1;Name=XM_022433714.1;gbkey=mRNA;gene=LOC111101273;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=mitochondrial inner membrane protein COX18-like;transcript_id=XM_022433714.1","NC_035780.1",571100,571200,"DMR",58,292628,"ID=rna25","Parent=gene18","Dbxref=GeneID",111101273,"Genbank","Name=XM_022433714.1","gbkey=mRNA","gene=LOC111101273","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns","product=mitochondrial inner membrane protein COX18-like","transcript_id=XM_022433714.1","","",""
"16","XM_022434217.1","sp","Q9IA20","HXA2_HETFR",47.16,229,89,7,123,776,1,208,4e-43,167,"NC_035780.1","Gnomon","mRNA",1763699,1778839,".","+",".","ID=rna146;Parent=gene87;Dbxref=GeneID:111101640,Genbank:XM_022434217.1;Name=XM_022434217.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: deleted 2 bases in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC111101640;model_evidence=Supporting evidence includes similarity to: 14 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns;product=homeobox protein Hox-B2a-like;transcript_id=XM_022434217.1","NC_035780.1",1885000,1885100,"DMR",51,106162,"ID=rna146","Parent=gene87","Dbxref=GeneID",111101640,"Genbank","Name=XM_022434217.1","Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS"," deleted 2 bases in 1 codon","exception=unclassified transcription discrepancy","gbkey=mRNA","gene=LOC111101640","model_evidence=Supporting evidence includes similarity to"," 14 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 22 samples with support for all annotated introns","product=homeobox protein Hox-B2a-like","transcript_id=XM_022434217.1"
"17","XM_022434407.1","sp","O01369","QCR7_FASHE",40.48,84,50,0,125,376,25,108,1e-15,73.9,"NC_035780.1","Gnomon","mRNA",372174,376974,".","-",".","ID=rna35;Parent=gene25;Dbxref=GeneID:111101799,Genbank:XM_022434407.1;Name=XM_022434407.1;gbkey=mRNA;gene=LOC111101799;model_evidence=Supporting evidence includes similarity to: 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=cytochrome b-c1 complex subunit 7-like;transcript_id=XM_022434407.1","NC_035780.1",571100,571200,"DMR",58,194127,"ID=rna35","Parent=gene25","Dbxref=GeneID",111101799,"Genbank","Name=XM_022434407.1","gbkey=mRNA","gene=LOC111101799","model_evidence=Supporting evidence includes similarity to"," 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns","product=cytochrome b-c1 complex subunit 7-like","transcript_id=XM_022434407.1","","",""
"18","XM_022434719.1","sp","P20735","GGT1_PIG",39.14,534,304,14,390,1967,41,561,7e-97,321,"NC_035780.1","Gnomon","mRNA",485479,500367,".","+",".","ID=rna40;Parent=gene30;Dbxref=GeneID:111102064,Genbank:XM_022434719.1;Name=XM_022434719.1;gbkey=mRNA;gene=LOC111102064;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns;product=gamma-glutamyltranspeptidase 1-like%2C transcript variant X1;transcript_id=XM_022434719.1","NC_035780.1",571100,571200,"DMR",58,70734,"ID=rna40","Parent=gene30","Dbxref=GeneID",111102064,"Genbank","Name=XM_022434719.1","gbkey=mRNA","gene=LOC111102064","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=gamma-glutamyltranspeptidase 1-like%2C transcript variant X1","transcript_id=XM_022434719.1","","",""
"19","XM_022434725.1","sp","P20735","GGT1_PIG",39.14,534,304,14,334,1911,41,561,3e-97,321,"NC_035780.1","Gnomon","mRNA",485859,500367,".","+",".","ID=rna41;Parent=gene30;Dbxref=GeneID:111102064,Genbank:XM_022434725.1;Name=XM_022434725.1;gbkey=mRNA;gene=LOC111102064;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=gamma-glutamyltranspeptidase 1-like%2C transcript variant X2;transcript_id=XM_022434725.1","NC_035780.1",571100,571200,"DMR",58,70734,"ID=rna41","Parent=gene30","Dbxref=GeneID",111102064,"Genbank","Name=XM_022434725.1","gbkey=mRNA","gene=LOC111102064","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=gamma-glutamyltranspeptidase 1-like%2C transcript variant X2","transcript_id=XM_022434725.1","","",""
"20","XM_022435101.1","sp","Q566Y1","ELP4_DANRE",47.45,392,167,8,213,1328,17,389,2e-108,333,"NC_035780.1","Gnomon","mRNA",349425,360957,".","+",".","ID=rna31;Parent=gene23;Dbxref=GeneID:111102393,Genbank:XM_022435101.1;Name=XM_022435101.1;gbkey=mRNA;gene=LOC111102393;model_evidence=Supporting evidence includes similarity to: 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns;product=elongator complex protein 4-like%2C transcript variant X1;transcript_id=XM_022435101.1","NC_035780.1",571100,571200,"DMR",58,210144,"ID=rna31","Parent=gene23","Dbxref=GeneID",111102393,"Genbank","Name=XM_022435101.1","gbkey=mRNA","gene=LOC111102393","model_evidence=Supporting evidence includes similarity to"," 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=elongator complex protein 4-like%2C transcript variant X1","transcript_id=XM_022435101.1","","",""
"21","XM_022435108.1","sp","Q566Y1","ELP4_DANRE",48.78,369,156,7,213,1259,17,372,3e-107,329,"NC_035780.1","Gnomon","mRNA",349425,359436,".","+",".","ID=rna32;Parent=gene23;Dbxref=GeneID:111102393,Genbank:XM_022435108.1;Name=XM_022435108.1;gbkey=mRNA;gene=LOC111102393;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=elongator complex protein 4-like%2C transcript variant X2;transcript_id=XM_022435108.1","NC_035780.1",571100,571200,"DMR",58,211665,"ID=rna32","Parent=gene23","Dbxref=GeneID",111102393,"Genbank","Name=XM_022435108.1","gbkey=mRNA","gene=LOC111102393","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=elongator complex protein 4-like%2C transcript variant X2","transcript_id=XM_022435108.1","","",""
"22","XM_022435116.1","sp","Q566Y1","ELP4_DANRE",47.78,360,153,7,213,1229,17,362,2e-100,311,"NC_035780.1","Gnomon","mRNA",349425,358191,".","+",".","ID=rna33;Parent=gene23;Dbxref=GeneID:111102393,Genbank:XM_022435116.1;Name=XM_022435116.1;gbkey=mRNA;gene=LOC111102393;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 4 samples with support for all annotated introns;product=elongator complex protein 4-like%2C transcript variant X3;transcript_id=XM_022435116.1","NC_035780.1",571100,571200,"DMR",58,212910,"ID=rna33","Parent=gene23","Dbxref=GeneID",111102393,"Genbank","Name=XM_022435116.1","gbkey=mRNA","gene=LOC111102393","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 4 samples with support for all annotated introns","product=elongator complex protein 4-like%2C transcript variant X3","transcript_id=XM_022435116.1","","",""
"23","XM_022435187.1","sp","Q8CI17","MB213_MOUSE",26.1,249,157,10,769,1485,198,429,9e-08,59.3,"NC_035780.1","Gnomon","mRNA",1878806,1881983,".","+",".","ID=rna154;Parent=gene94;Dbxref=GeneID:111102439,Genbank:XM_022435187.1;Name=XM_022435187.1;gbkey=mRNA;gene=LOC111102439;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111102439;transcript_id=XM_022435187.1","NC_035780.1",1885000,1885100,"DMR",51,3018,"ID=rna154","Parent=gene94","Dbxref=GeneID",111102439,"Genbank","Name=XM_022435187.1","gbkey=mRNA","gene=LOC111102439","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=uncharacterized LOC111102439","transcript_id=XM_022435187.1","","",""
"24","XM_022435197.1","sp","Q0MQI4","NDUV1_PONPY",81.04,443,75,1,133,1461,20,453,0,728,"NC_035780.1","Gnomon","mRNA",1882143,1890106,".","-",".","ID=rna155;Parent=gene95;Dbxref=GeneID:111102448,Genbank:XM_022435197.1;Name=XM_022435197.1;gbkey=mRNA;gene=LOC111102448;model_evidence=Supporting evidence includes similarity to: 25 Proteins%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments;product=NADH dehydrogenase [ubiquinone] flavoprotein 1%2C mitochondrial-like;transcript_id=XM_022435197.1","NC_035780.1",1933500,1933600,"DMR",53,43395,"ID=rna155","Parent=gene95","Dbxref=GeneID",111102448,"Genbank","Name=XM_022435197.1","gbkey=mRNA","gene=LOC111102448","model_evidence=Supporting evidence includes similarity to"," 25 Proteins%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments","product=NADH dehydrogenase [ubiquinone] flavoprotein 1%2C mitochondrial-like","transcript_id=XM_022435197.1","","",""
"25","XM_022435396.1","sp","O43248","HXC11_HUMAN",56.94,72,31,0,1177,1392,221,292,1e-18,90.5,"NC_035780.1","Gnomon","mRNA",1038480,1053423,".","-",".","ID=rna120;Parent=gene68;Dbxref=GeneID:111102585,Genbank:XM_022435396.1;Name=XM_022435396.1;gbkey=mRNA;gene=LOC111102585;model_evidence=Supporting evidence includes similarity to: 5 Proteins%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns;product=homeobox protein Hox-A9-like%2C transcript variant X1;transcript_id=XM_022435396.1","NC_035780.1",573700,573800,"DMR",52,-464680,"ID=rna120","Parent=gene68","Dbxref=GeneID",111102585,"Genbank","Name=XM_022435396.1","gbkey=mRNA","gene=LOC111102585","model_evidence=Supporting evidence includes similarity to"," 5 Proteins%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns","product=homeobox protein Hox-A9-like%2C transcript variant X1","transcript_id=XM_022435396.1","","",""
"26","XM_022435405.1","sp","O43248","HXC11_HUMAN",56.94,72,31,0,864,1079,221,292,6e-19,90.9,"NC_035780.1","Gnomon","mRNA",1038480,1053260,".","-",".","ID=rna122;Parent=gene68;Dbxref=GeneID:111102585,Genbank:XM_022435405.1;Name=XM_022435405.1;gbkey=mRNA;gene=LOC111102585;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=homeobox protein Hox-A9-like%2C transcript variant X2;transcript_id=XM_022435405.1","NC_035780.1",573700,573800,"DMR",52,-464680,"ID=rna122","Parent=gene68","Dbxref=GeneID",111102585,"Genbank","Name=XM_022435405.1","gbkey=mRNA","gene=LOC111102585","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns","product=homeobox protein Hox-A9-like%2C transcript variant X2","transcript_id=XM_022435405.1","","",""
