"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","DMRchromosome","DMRstart","DMRend","DMRstrand","V5","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V11","mRNAstrand","V13","ID","Parent","Dbxref=GeneID","V17","V18","Name","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"11","XM_022432200.1","sp","Q61824","ADA12_MOUSE",34.99,746,442,21,239,2446,60,772,1e-118,403,"NC_035785.1",32926100,32926200,"DMR",50,"NC_035785.1","Gnomon","mRNA",32907406,32933341,".","+",".","ID=rna42609","Parent=gene24580","Dbxref=GeneID",111100393,"Genbank","Name=XM_022432200.1","gbkey=mRNA","gene=LOC111100393","model_evidence=Supporting evidence includes similarity to"," 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=disintegrin and metalloproteinase domain-containing protein 12-like%2C transcript variant X2","transcript_id=XM_022432200.1","","",""
"12","XM_022432201.1","sp","Q61824","ADA12_MOUSE",35.81,740,433,21,254,2443,65,772,4e-123,416,"NC_035785.1",32926100,32926200,"DMR",50,"NC_035785.1","Gnomon","mRNA",32907406,32933341,".","+",".","ID=rna42606","Parent=gene24580","Dbxref=GeneID",111100393,"Genbank","Name=XM_022432201.1","gbkey=mRNA","gene=LOC111100393","model_evidence=Supporting evidence includes similarity to"," 23 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 14 samples with support for all annotated introns","product=disintegrin and metalloproteinase domain-containing protein 12-like%2C transcript variant X3","transcript_id=XM_022432201.1","","",""
"13","XM_022432203.1","sp","Q61824","ADA12_MOUSE",35.14,740,444,20,239,2431,60,772,4e-120,407,"NC_035785.1",32926100,32926200,"DMR",50,"NC_035785.1","Gnomon","mRNA",32907406,32933341,".","+",".","ID=rna42608","Parent=gene24580","Dbxref=GeneID",111100393,"Genbank","Name=XM_022432203.1","gbkey=mRNA","gene=LOC111100393","model_evidence=Supporting evidence includes similarity to"," 14 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 14 samples with support for all annotated introns","product=disintegrin and metalloproteinase domain-containing protein 12-like%2C transcript variant X4","transcript_id=XM_022432203.1","","",""
"14","XM_022432742.1","sp","Q8CI95","OSB11_MOUSE",48.92,697,308,12,105,2105,66,744,0,624,"NC_035780.1",1933500,1933600,"DMR",53,"NC_035780.1","Gnomon","mRNA",1928718,1940217,".","+",".","ID=rna160","Parent=gene98","Dbxref=GeneID",111100652,"Genbank","Name=XM_022432742.1","Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS"," inserted 3 bases in 2 codons","exception=unclassified transcription discrepancy","gbkey=mRNA","gene=LOC111100652","model_evidence=Supporting evidence includes similarity to"," 3 Proteins%2C and 96%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=oxysterol-binding protein-related protein 11-like","transcript_id=XM_022432742.1"
"15","XM_022432963.1","sp","Q5ZKN5","FA53A_CHICK",30.75,335,178,14,579,1487,106,418,4e-13,76.6,"NC_035785.1",31878900,31879000,"DMR",-55,"NC_035785.1","Gnomon","mRNA",31870553,31885515,".","-",".","ID=rna42494","Parent=gene24520","Dbxref=GeneID",111100852,"Genbank","Name=XM_022432963.1","gbkey=mRNA","gene=LOC111100852","model_evidence=Supporting evidence includes similarity to"," 1 EST%2C 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 25 samples with support for all annotated introns","product=protein FAM53A-like%2C transcript variant X1","transcript_id=XM_022432963.1","","",""
"16","XM_022432964.1","sp","Q5ZKN5","FA53A_CHICK",30.75,335,178,14,814,1722,106,418,4e-13,76.6,"NC_035785.1",31878900,31879000,"DMR",-55,"NC_035785.1","Gnomon","mRNA",31870553,31882606,".","-",".","ID=rna42495","Parent=gene24520","Dbxref=GeneID",111100852,"Genbank","Name=XM_022432964.1","gbkey=mRNA","gene=LOC111100852","model_evidence=Supporting evidence includes similarity to"," 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns","product=protein FAM53A-like%2C transcript variant X2","transcript_id=XM_022432964.1","","",""
"17","XM_022432965.1","sp","Q5ZKN5","FA53A_CHICK",30.75,335,178,14,607,1515,106,418,4e-13,76.6,"NC_035785.1",31878900,31879000,"DMR",-55,"NC_035785.1","Gnomon","mRNA",31870553,31879722,".","-",".","ID=rna42497","Parent=gene24520","Dbxref=GeneID",111100852,"Genbank","Name=XM_022432965.1","gbkey=mRNA","gene=LOC111100852","model_evidence=Supporting evidence includes similarity to"," 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns","product=protein FAM53A-like%2C transcript variant X3","transcript_id=XM_022432965.1","","",""
"18","XM_022432966.1","sp","Q5ZKN5","FA53A_CHICK",30.75,335,178,14,496,1404,106,418,4e-13,76.6,"NC_035785.1",31878900,31879000,"DMR",-55,"NC_035785.1","Gnomon","mRNA",31870553,31879986,".","-",".","ID=rna42496","Parent=gene24520","Dbxref=GeneID",111100852,"Genbank","Name=XM_022432966.1","gbkey=mRNA","gene=LOC111100852","model_evidence=Supporting evidence includes similarity to"," 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=protein FAM53A-like%2C transcript variant X4","transcript_id=XM_022432966.1","","",""
"19","XM_022432967.1","sp","Q5ZKN5","FA53A_CHICK",30.75,335,178,14,499,1407,106,418,4e-13,76.6,"NC_035785.1",31878900,31879000,"DMR",-55,"NC_035785.1","Gnomon","mRNA",31870553,31879411,".","-",".","ID=rna42498","Parent=gene24520","Dbxref=GeneID",111100852,"Genbank","Name=XM_022432967.1","gbkey=mRNA","gene=LOC111100852","model_evidence=Supporting evidence includes similarity to"," 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns","product=protein FAM53A-like%2C transcript variant X5","transcript_id=XM_022432967.1","","",""
"20","XM_022433401.1","sp","Q6PAX7","WDR1B_XENLA",48.52,610,298,10,104,1903,3,606,0,598,"NC_035785.1",43840300,43840400,"DMR",58,"NC_035785.1","Gnomon","mRNA",43839146,43848923,".","+",".","ID=rna43810","Parent=gene25213","Dbxref=GeneID",111101101,"Genbank","Name=XM_022433401.1","gbkey=mRNA","gene=LOC111101101","model_evidence=Supporting evidence includes similarity to"," 6 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 25 samples with support for all annotated introns","product=WD repeat-containing protein 1-B-like%2C transcript variant X1","transcript_id=XM_022433401.1","","",""
"21","XM_022433402.1","sp","Q6PAX7","WDR1B_XENLA",48.52,610,298,10,104,1903,3,606,0,598,"NC_035785.1",43840300,43840400,"DMR",58,"NC_035785.1","Gnomon","mRNA",43839146,43848923,".","+",".","ID=rna43811","Parent=gene25213","Dbxref=GeneID",111101101,"Genbank","Name=XM_022433402.1","gbkey=mRNA","gene=LOC111101101","model_evidence=Supporting evidence includes similarity to"," 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns","product=WD repeat-containing protein 1-B-like%2C transcript variant X2","transcript_id=XM_022433402.1","","",""
"22","XM_022433936.1","sp","Q9NLA3","ANO39_PATPE",41.03,117,63,1,127,459,2,118,4e-19,89.4,"NC_035785.1",35798100,35798200,"DMR",-53,"NC_035785.1","Gnomon","mRNA",35793738,35807106,".","+",".","ID=rna42915","Parent=gene24763","Dbxref=GeneID",111101447,"Genbank","Name=XM_022433936.1","gbkey=mRNA","gene=LOC111101447","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns","product=nucleoplasmin-like protein ANO39%2C transcript variant X1","transcript_id=XM_022433936.1","","",""
"23","XM_022433937.1","sp","Q9NLA3","ANO39_PATPE",41.03,117,63,1,127,459,2,118,4e-19,89.4,"NC_035785.1",35798100,35798200,"DMR",-53,"NC_035785.1","Gnomon","mRNA",35793738,35807106,".","+",".","ID=rna42916","Parent=gene24763","Dbxref=GeneID",111101447,"Genbank","Name=XM_022433937.1","gbkey=mRNA","gene=LOC111101447","model_evidence=Supporting evidence includes similarity to"," 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 7 samples with support for all annotated introns","product=nucleoplasmin-like protein ANO39%2C transcript variant X2","transcript_id=XM_022433937.1","","",""
"24","XM_022434866.1","sp","Q6P5D8","SMHD1_MOUSE",46.65,1987,1010,26,105,5984,28,1991,0,1797,"NC_035780.1",48394800,48394900,"DMR",-63,"NC_035780.1","Gnomon","mRNA",48394159,48426283,".","-",".","ID=rna4873","Parent=gene2876","Dbxref=GeneID",111102211,"Genbank","Name=XM_022434866.1","gbkey=mRNA","gene=LOC111102211","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=structural maintenance of chromosomes flexible hinge domain-containing protein 1-like","transcript_id=XM_022434866.1","","",""
"25","XM_022435197.1","sp","Q0MQI4","NDUV1_PONPY",81.04,443,75,1,133,1461,20,453,0,728,"NC_035780.1",1885000,1885100,"DMR",51,"NC_035780.1","Gnomon","mRNA",1882143,1890106,".","-",".","ID=rna155","Parent=gene95","Dbxref=GeneID",111102448,"Genbank","Name=XM_022435197.1","gbkey=mRNA","gene=LOC111102448","model_evidence=Supporting evidence includes similarity to"," 25 Proteins%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments","product=NADH dehydrogenase [ubiquinone] flavoprotein 1%2C mitochondrial-like","transcript_id=XM_022435197.1","","",""
"26","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",62.96,81,30,0,724,966,115,195,4e-14,80.5,"NC_035786.1",6764100,6764157,"DMR",-57,"NC_035786.1","Gnomon","mRNA",6755003,6764157,".","+",".","ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"27","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",39.64,439,226,8,1315,2538,319,749,9e-65,236,"NC_035786.1",6764100,6764157,"DMR",-57,"NC_035786.1","Gnomon","mRNA",6755003,6764157,".","+",".","ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"28","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",50,74,37,0,46,267,5,78,7e-16,86.3,"NC_035786.1",6764100,6764157,"DMR",-57,"NC_035786.1","Gnomon","mRNA",6755003,6764157,".","+",".","ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"29","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",32.53,83,48,2,43,267,325,407,0.007,43.9,"NC_035786.1",6764100,6764157,"DMR",-57,"NC_035786.1","Gnomon","mRNA",6755003,6764157,".","+",".","ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"30","XM_022435675.1","sp","Q8CGC6","RBM28_MOUSE",33.33,84,51,2,1339,1590,116,194,0.11,40,"NC_035786.1",6764100,6764157,"DMR",-57,"NC_035786.1","Gnomon","mRNA",6755003,6764157,".","+",".","ID=rna44977","Parent=gene25847","Dbxref=GeneID",111102803,"Genbank","Name=XM_022435675.1","gbkey=mRNA","gene=LOC111102803","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns","product=RNA-binding protein 28-like","transcript_id=XM_022435675.1","","",""
"31","XM_022435676.1","sp","Q8BUG5","CAYP2_MOUSE",35.7,493,284,11,678,2102,73,550,8e-85,290,"NC_035786.1",4272300,4272400,"DMR",66,"NC_035786.1","Gnomon","mRNA",4265218,4276579,".","-",".","ID=rna44734","Parent=gene25708","Dbxref=GeneID",111102805,"Genbank","Name=XM_022435676.1","gbkey=mRNA","gene=LOC111102805","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns","product=calcyphosin-2-like%2C transcript variant X1","transcript_id=XM_022435676.1","","",""
"32","XM_022435677.1","sp","Q8BUG5","CAYP2_MOUSE",35.7,493,284,11,585,2009,73,550,6e-85,290,"NC_035786.1",4272300,4272400,"DMR",66,"NC_035786.1","Gnomon","mRNA",4265218,4276737,".","-",".","ID=rna44733","Parent=gene25708","Dbxref=GeneID",111102805,"Genbank","Name=XM_022435677.1","gbkey=mRNA","gene=LOC111102805","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns","product=calcyphosin-2-like%2C transcript variant X2","transcript_id=XM_022435677.1","","",""
"33","XM_022435678.1","sp","Q8BUG5","CAYP2_MOUSE",35.7,493,284,11,656,2080,73,550,9e-85,289,"NC_035786.1",4272300,4272400,"DMR",66,"NC_035786.1","Gnomon","mRNA",4265218,4276752,".","-",".","ID=rna44732","Parent=gene25708","Dbxref=GeneID",111102805,"Genbank","Name=XM_022435678.1","gbkey=mRNA","gene=LOC111102805","model_evidence=Supporting evidence includes similarity to"," 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 7 samples with support for all annotated introns","product=calcyphosin-2-like%2C transcript variant X3","transcript_id=XM_022435678.1","","",""
"34","XM_022437780.1","sp","Q8BHY3","ANO1_MOUSE",43.61,830,395,15,502,2940,143,916,0,633,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1083167,".","-",".","ID=rna44505","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437780.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X1","transcript_id=XM_022437780.1","","",""
"35","XM_022437782.1","sp","Q8BHY3","ANO1_MOUSE",43.61,830,395,15,484,2922,143,916,0,634,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1083167,".","-",".","ID=rna44506","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437782.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 9 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments","product=anoctamin-1-like%2C transcript variant X2","transcript_id=XM_022437782.1","","",""
"36","XM_022437783.1","sp","Q8BHY3","ANO1_MOUSE",43.56,831,394,15,478,2916,143,916,0,633,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1083167,".","-",".","ID=rna44504","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437783.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X3","transcript_id=XM_022437783.1","","",""
"37","XM_022437784.1","sp","Q8BHY3","ANO1_MOUSE",43.61,830,395,15,457,2895,143,916,0,634,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1084946,".","-",".","ID=rna44501","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437784.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X4","transcript_id=XM_022437784.1","","",""
"38","XM_022437785.1","sp","Q8BHY3","ANO1_MOUSE",43.56,831,394,15,674,3112,143,916,0,633,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1076557,".","-",".","ID=rna44510","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437785.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X5","transcript_id=XM_022437785.1","","",""
"39","XM_022437786.1","sp","Q8BHY3","ANO1_MOUSE",43.61,830,395,15,448,2886,143,916,0,633,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1083167,".","-",".","ID=rna44503","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437786.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X6","transcript_id=XM_022437786.1","","",""
"40","XM_022437787.1","sp","Q8BHY3","ANO1_MOUSE",43.61,830,395,15,424,2862,143,916,0,633,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1083167,".","-",".","ID=rna44502","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437787.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X7","transcript_id=XM_022437787.1","","",""
"41","XM_022437788.1","sp","Q8BHY3","ANO1_MOUSE",43.61,830,395,15,397,2835,143,916,0,634,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1084946,".","-",".","ID=rna44500","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437788.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X8","transcript_id=XM_022437788.1","","",""
"42","XM_022437789.1","sp","Q8BHY3","ANO1_MOUSE",43.61,830,395,15,334,2772,143,916,0,632,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1076143,".","-",".","ID=rna44511","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437789.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X9","transcript_id=XM_022437789.1","","",""
"43","XM_022437790.1","sp","Q8BHY3","ANO1_MOUSE",43.61,830,395,15,752,3190,143,916,0,633,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1077068,".","-",".","ID=rna44509","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437790.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 4 samples with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X10","transcript_id=XM_022437790.1","","",""
"44","XM_022437791.1","sp","Q8BHY3","ANO1_MOUSE",43.61,830,395,15,635,3073,143,916,0,633,"NC_035786.1",1064400,1064500,"DMR",50,"NC_035786.1","Gnomon","mRNA",1046221,1077068,".","-",".","ID=rna44507","Parent=gene25583","Dbxref=GeneID",111104063,"Genbank","Name=XM_022437791.1","gbkey=mRNA","gene=LOC111104063","model_evidence=Supporting evidence includes similarity to"," 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 4 samples with support for all annotated introns","product=anoctamin-1-like%2C transcript variant X11","transcript_id=XM_022437791.1","","",""
