"","chr","start","end","meth.diff","strand","pvalue","qvalue","TE-start","TE-end","V10","TE-strand","Target-Motif","dist-to-closest-gene","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-Accession","Uniprot-ID","evalue","Product","GO-ID","GO-BP","GO-CC","GO-MF"
"11","NC_035780.1",57337101,57337101,-54.8387096774194,"+",2.12957401925827e-10,4.79823247989426e-09,57337042,57337128,18.6,"-","Target Motif:DNA2-2_CGi 413 498",0,57313370,57338228,"111135160",57313370,57338228,"XM_022484960.1","Q9UNS1","TIM_HUMAN",6e-14,"protein timeless homolog",NA,NA,NA,NA
"12","NC_035781.1",22439770,22439770,53.8431991220248,"+",7.04523840906674e-52,1.31173087853659e-48,22439740,22439796,28.1,"+","Target Motif:Mariner-6_AMi 698 754",0,22434445,22454564,"111120358",22434445,22454564,"XM_022461079.1","Q9WTV0","PREB_RAT",4e-68,"prolactin regulatory element-binding protein-like",NA,NA,NA,NA
"13","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59744026,"XM_022459869.1","Q5R754","CDKL2_PONAB",1e-165,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"14","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59746413,"XM_022459860.1","Q5R754","CDKL2_PONAB",9e-158,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"15","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59746413,"XM_022459864.1","Q5R754","CDKL2_PONAB",9e-158,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"16","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59744031,"XM_022459868.1","Q5R754","CDKL2_PONAB",2e-165,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"17","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59746413,"XM_022459858.1","Q5R754","CDKL2_PONAB",1e-157,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"18","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59746413,"XM_022459861.1","Q5R754","CDKL2_PONAB",8e-158,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"19","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59746413,"XM_022459862.1","Q5R754","CDKL2_PONAB",8e-158,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"20","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59746413,"XM_022459866.1","Q5R754","CDKL2_PONAB",8e-158,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"21","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59746413,"XM_022459859.1","Q5R754","CDKL2_PONAB",1e-157,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"22","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727725,59746413,"XM_022459863.1","Q5R754","CDKL2_PONAB",7e-158,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"23","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59727276,59746413,"XM_022459865.1","Q5R754","CDKL2_PONAB",4e-158,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"24","NC_035781.1",59742650,59742650,-65.0485436893204,"+",2.11141225960939e-27,4.36073756412092e-25,59742603,59742651,4.2,"+","Target Motif:(ACTAACG)n 1 49",0,59725757,59746413,"111119574",59725757,59746412,"XM_022459867.1","Q5R754","CDKL2_PONAB",9e-157,"cyclin-dependent kinase-like 4","GO:0004693; GO:0005524; GO:0005634; GO:0005737","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]"
"25","NC_035782.1",34498894,34498894,-55.0220750551876,"+",6.09478805265885e-32,2.09447814572794e-29,34498501,34500091,24.8,"+","Target Motif:Helitron-N40_CGi 1 1569",0,34044936,34574288,"111123434",34044936,34574288,"XM_022465747.1","Q91XQ0","DYH8_MOUSE",0,"dynein heavy chain 8",NA,NA,NA,NA
"26","NC_035782.1",34280755,34280755,-50.3968253968254,"+",4.87406131722199e-10,1.02731395400137e-08,34498501,34500091,24.8,"+","Target Motif:Helitron-N40_CGi 1 1569",0,34044936,34574288,"111123434",34044936,34574288,"XM_022465747.1","Q91XQ0","DYH8_MOUSE",0,"dynein heavy chain 8",NA,NA,NA,NA
"27","NC_035782.1",34498896,34498896,-71.5532178217822,"+",2.66880814384858e-46,3.23224282580147e-43,34498501,34500091,24.8,"+","Target Motif:Helitron-N40_CGi 1 1569",0,34044936,34574288,"111123434",34044936,34574288,"XM_022465747.1","Q91XQ0","DYH8_MOUSE",0,"dynein heavy chain 8",NA,NA,NA,NA
"28","NC_035782.1",45857196,45857196,52.1154543173391,"+",8.46392282619501e-52,1.55269671005455e-48,45857026,45858123,32.7,"+","Target Motif:Mariner-21_LCh 450 1999",0,45855457,45861802,"111125368",45855457,45861802,"XM_022469115.1","A5WUL3","MED22_DANRE",3e-57,"mediator of RNA polymerase II transcription subunit 22-like",NA,NA,NA,NA
"29","NC_035782.1",53693368,53693368,61.3897051853256,"+",1.35843971280143e-30,4.02037571543722e-28,53693299,53693466,19.6,"+","Target Motif:Crypton-N6B_CGi 566 735",0,53690611,53716544,"111123982",53690691,53716544,"XM_022466774.1","O15439","MRP4_HUMAN",0,"multidrug resistance-associated protein 4-like","GO:0002576; GO:0005524; GO:0005886; GO:0010243; GO:0014070; GO:0015662; GO:0016020; GO:0016021; GO:0016323; GO:0016404; GO:0031088; GO:0032310; GO:0042493; GO:0042626; GO:0048661; GO:0055085; GO:0060271","cilium assembly [GO:0060271]; platelet degranulation [GO:0002576]; positive regulation of smooth muscle cell proliferation [GO:0048661]; prostaglandin secretion [GO:0032310]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]; transmembrane transport [GO:0055085]","basolateral plasma membrane [GO:0016323]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]","15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]"
"30","NC_035782.1",53693368,53693368,61.3897051853256,"+",1.35843971280143e-30,4.02037571543722e-28,53693299,53693466,19.6,"+","Target Motif:Crypton-N6B_CGi 566 735",0,53690611,53716544,"111123982",53690611,53710299,"XM_022466775.1","O15439","MRP4_HUMAN",0,"multidrug resistance-associated protein 4-like","GO:0002576; GO:0005524; GO:0005886; GO:0010243; GO:0014070; GO:0015662; GO:0016020; GO:0016021; GO:0016323; GO:0016404; GO:0031088; GO:0032310; GO:0042493; GO:0042626; GO:0048661; GO:0055085; GO:0060271","cilium assembly [GO:0060271]; platelet degranulation [GO:0002576]; positive regulation of smooth muscle cell proliferation [GO:0048661]; prostaglandin secretion [GO:0032310]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]; transmembrane transport [GO:0055085]","basolateral plasma membrane [GO:0016323]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]","15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism [GO:0015662]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]"
"31","NC_035782.1",61203971,61203971,51.4949845679012,"+",2.55039283458132e-14,1.05785293227173e-12,61203541,61204351,12.3,"-","Target Motif:CVA 1 686",0,61195838,61209507,"111124916",61195838,61209507,"XM_022468219.1","Q8NHP6","MSPD2_HUMAN",8e-86,"motile sperm domain-containing protein 2-like",NA,NA,NA,NA
"32","NC_035783.1",4336101,4336101,63.7449079926956,"+",2.09542331969692e-26,3.8753744304438e-24,4335884,4336135,21.8,"+","Target Motif:DNA8-4_CGi 42 268",0,4306273,4347457,"111130622",4306273,4347457,"XM_022477788.1","Q8CG46","SMC5_MOUSE",0,"structural maintenance of chromosomes protein 5-like",NA,NA,NA,NA
"33","NC_035783.1",23130126,23130126,53.9158950617284,"+",2.29193775899788e-23,3.04157700812679e-21,23130086,23130209,18.6,"+","Target Motif:Crypton-8N1_CGi 516 639",0,23124581,23134715,"111131769",23124664,23134674,"XM_022479472.1","Q75VW3","DNAJ_HYDTT",1e-13,"dnaJ-like protein MG002 homolog","GO:0005524; GO:0005737; GO:0006260; GO:0006457; GO:0008270; GO:0009408; GO:0031072; GO:0051082","DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]","cytoplasm [GO:0005737]","ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]"
"34","NC_035783.1",23130126,23130126,53.9158950617284,"+",2.29193775899788e-23,3.04157700812679e-21,23130086,23130209,18.6,"+","Target Motif:Crypton-8N1_CGi 516 639",0,23124581,23134715,"111131769",23124664,23133050,"XM_022479474.1","B7KEJ8","DNAJ_CYAP7",1e-08,"dnaJ-like protein MG002 homolog",NA,NA,NA,NA
"35","NC_035783.1",23130126,23130126,53.9158950617284,"+",2.29193775899788e-23,3.04157700812679e-21,23130086,23130209,18.6,"+","Target Motif:Crypton-8N1_CGi 516 639",0,23124581,23134715,"111131769",23124581,23134715,"XM_022479473.1","Q75VW3","DNAJ_HYDTT",2e-13,"dnaJ-like protein MG002 homolog","GO:0005524; GO:0005737; GO:0006260; GO:0006457; GO:0008270; GO:0009408; GO:0031072; GO:0051082","DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]","cytoplasm [GO:0005737]","ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]"
"36","NC_035783.1",23130126,23130126,53.9158950617284,"+",2.29193775899788e-23,3.04157700812679e-21,23130086,23130209,18.6,"+","Target Motif:Crypton-8N1_CGi 516 639",0,23124581,23134715,"111131769",23124664,23134715,"XM_022479471.1","Q75VW3","DNAJ_HYDTT",2e-13,"dnaJ-like protein MG002 homolog","GO:0005524; GO:0005737; GO:0006260; GO:0006457; GO:0008270; GO:0009408; GO:0031072; GO:0051082","DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]","cytoplasm [GO:0005737]","ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]"
"37","NC_035783.1",29749415,29749415,57.6054041462847,"+",7.89733540227734e-16,4.02350296172505e-14,29749359,29749442,10.7,"+","Target Motif:ISL2EU-8_CGi 4977 5060",0,29743531,29751155,"111131400",29743531,29751155,"XM_022478901.1","Q7TQC7","GPTC2_MOUSE",2e-15,"G patch domain-containing protein 2-like",NA,NA,NA,NA
"38","NC_035783.1",32417239,32417239,-60.569157151176,"+",1.99943770500168e-62,9.41208529951863e-59,32417040,32417268,14.7,"-","Target Motif:BivaMD-SINE1_CrVi 2 319",0,32411180,32424850,"111128909",32411180,32424850,"XM_022474862.1","Q8BRK9","MA2A2_MOUSE",0,"alpha-mannosidase 2-like",NA,NA,NA,NA
"39","NC_035783.1",46125339,46125339,51.7758631376681,"+",4.32890841528329e-29,1.08002110958293e-26,46125305,46125481,20.4,"+","Target Motif:hAT-6N1_CGi 1 168",0,45940856,46144490,"111127729",45940856,46144490,"XM_022472963.1","Q9YHY6","CND1_XENLA",0,"condensin complex subunit 1-like","GO:0005634; GO:0005694; GO:0005829; GO:0007076; GO:0051301","cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]","chromosome [GO:0005694]; cytosol [GO:0005829]; nucleus [GO:0005634]",""
"40","NC_035783.1",46125339,46125339,51.7758631376681,"+",4.32890841528329e-29,1.08002110958293e-26,46125305,46125481,20.4,"+","Target Motif:hAT-6N1_CGi 1 168",0,45940856,46144490,"111127729",45940856,46144457,"XM_022472962.1","Q9YHY6","CND1_XENLA",0,"condensin complex subunit 1-like","GO:0005634; GO:0005694; GO:0005829; GO:0007076; GO:0051301","cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]","chromosome [GO:0005694]; cytosol [GO:0005829]; nucleus [GO:0005634]",""
"41","NC_035783.1",46125339,46125339,51.7758631376681,"+",4.32890841528329e-29,1.08002110958293e-26,46125305,46125481,20.4,"+","Target Motif:hAT-6N1_CGi 1 168",0,45940856,46144490,"111127729",45940856,46144490,"XM_022472961.1","Q9YHY6","CND1_XENLA",0,"condensin complex subunit 1-like","GO:0005634; GO:0005694; GO:0005829; GO:0007076; GO:0051301","cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]","chromosome [GO:0005694]; cytosol [GO:0005829]; nucleus [GO:0005634]",""
"42","NC_035783.1",48434287,48434287,-53.4230944774076,"+",3.55123914593024e-41,2.75155307255352e-38,48434172,48434360,26.1,"-","Target Motif:DNA3-11_CGi 1856 2040",0,48398662,48467690,"111130052",48401852,48467690,"XM_022476709.1","Q00IB7","PKHH1_DANRE",0,"pleckstrin homology domain-containing family H member 1-like","GO:0001569; GO:0005856; GO:0048514","blood vessel morphogenesis [GO:0048514]; branching involved in blood vessel morphogenesis [GO:0001569]","cytoskeleton [GO:0005856]",""
"43","NC_035783.1",48434287,48434287,-53.4230944774076,"+",3.55123914593024e-41,2.75155307255352e-38,48434172,48434360,26.1,"-","Target Motif:DNA3-11_CGi 1856 2040",0,48398662,48467690,"111130052",48398850,48467690,"XM_022476713.1","Q8IVE3","PKHH2_HUMAN",4e-20,"pleckstrin homology domain-containing family H member 1-like","GO:0003779; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0016604; GO:0030027; GO:0030835; GO:0030864; GO:0042802","negative regulation of actin filament depolymerization [GO:0030835]","cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; lamellipodium [GO:0030027]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]","actin binding [GO:0003779]; identical protein binding [GO:0042802]"
"44","NC_035783.1",48434287,48434287,-53.4230944774076,"+",3.55123914593024e-41,2.75155307255352e-38,48434172,48434360,26.1,"-","Target Motif:DNA3-11_CGi 1856 2040",0,48398662,48467690,"111130052",48422316,48467690,"XM_022476715.1","Q00IB7","PKHH1_DANRE",3e-07,"pleckstrin homology domain-containing family H member 1-like","GO:0001569; GO:0005856; GO:0048514","blood vessel morphogenesis [GO:0048514]; branching involved in blood vessel morphogenesis [GO:0001569]","cytoskeleton [GO:0005856]",""
"45","NC_035783.1",48434287,48434287,-53.4230944774076,"+",3.55123914593024e-41,2.75155307255352e-38,48434172,48434360,26.1,"-","Target Motif:DNA3-11_CGi 1856 2040",0,48398662,48467690,"111130052",48408670,48467690,"XM_022476714.1","Q8IVE3","PKHH2_HUMAN",0,"pleckstrin homology domain-containing family H member 1-like","GO:0003779; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0016604; GO:0030027; GO:0030835; GO:0030864; GO:0042802","negative regulation of actin filament depolymerization [GO:0030835]","cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; lamellipodium [GO:0030027]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]","actin binding [GO:0003779]; identical protein binding [GO:0042802]"
"46","NC_035783.1",48434287,48434287,-53.4230944774076,"+",3.55123914593024e-41,2.75155307255352e-38,48434172,48434360,26.1,"-","Target Motif:DNA3-11_CGi 1856 2040",0,48398662,48467690,"111130052",48398850,48467690,"XM_022476708.1","Q00IB7","PKHH1_DANRE",4e-22,"pleckstrin homology domain-containing family H member 1-like","GO:0001569; GO:0005856; GO:0048514","blood vessel morphogenesis [GO:0048514]; branching involved in blood vessel morphogenesis [GO:0001569]","cytoskeleton [GO:0005856]",""
