"","Genbank","V2","Uniprot","V4","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V6","mRNAstrand","V8","V9","DMRchromosome","DMRstart","DMRend","DMR","Percentdiff","ID","Parent","Dbxref=GeneID","V18","V19","Name","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"11","XM_022447031.1","sp","A9CPT4","TDRD1_ORYLA",29.01,131,75,4,1732,2088,848,972,2e-05,53.5,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4633;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447031.1;Name=XM_022447031.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X1;transcript_id=XM_022447031.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4633","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447031.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X1","transcript_id=XM_022447031.1","","",""
"12","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",29.37,143,77,4,3112,3540,390,508,4e-05,52.8,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"13","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",25.16,159,86,4,3127,3603,616,741,0.03,43.1,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"14","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",23.15,216,139,4,2998,3642,821,1010,1e-06,57.4,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"15","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",28.74,174,98,4,4168,4683,858,1007,5e-11,72,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"16","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",33.54,158,100,4,4288,4758,414,567,4e-16,88.6,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"17","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",31.68,101,63,2,1903,2205,656,750,2e-04,50.1,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"18","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",30.53,95,62,2,4366,4644,208,300,7e-05,52,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"19","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",32.35,68,31,1,3274,3477,205,257,0.075,42,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"20","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",29.01,131,75,4,1765,2121,848,972,2e-05,53.5,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"21","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",30.14,209,118,6,4135,4761,604,784,9e-15,84.3,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"22","XM_022447040.1","sp","A9CPT4","TDRD1_ORYLA",32,150,84,4,1786,2208,391,531,2e-09,66.6,"NC_035780.1","Gnomon","mRNA",46044701,46044800,".","-",".","ID=rna4634;Parent=gene2726;Dbxref=GeneID:111110504,Genbank:XM_022447040.1;Name=XM_022447040.1;gbkey=mRNA;gene=LOC111110504;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC111110504%2C transcript variant X2;transcript_id=XM_022447040.1","NC_035780.1",46044700,46044800,"DMR",-53,"ID=rna4634","Parent=gene2726","Dbxref=GeneID",111110504,"Genbank","Name=XM_022447040.1","gbkey=mRNA","gene=LOC111110504","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=uncharacterized LOC111110504%2C transcript variant X2","transcript_id=XM_022447040.1","","",""
"23","XM_022456835.1","sp","Q09621","LACT2_CAEEL",34.48,319,186,5,207,1115,66,377,5e-54,195,"NC_035781.1","Gnomon","mRNA",30789601,30789700,".","-",".","ID=rna10183;Parent=gene5990;Dbxref=GeneID:111117669,Genbank:XM_022456835.1;Name=XM_022456835.1;gbkey=mRNA;gene=LOC111117669;model_evidence=Supporting evidence includes similarity to: 2 ESTs%2C 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns;product=beta-lactamase domain-containing protein 2-like;transcript_id=XM_022456835.1","NC_035781.1",30789600,30789700,"DMR",-55,"ID=rna10183","Parent=gene5990","Dbxref=GeneID",111117669,"Genbank","Name=XM_022456835.1","gbkey=mRNA","gene=LOC111117669","model_evidence=Supporting evidence includes similarity to"," 2 ESTs%2C 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns","product=beta-lactamase domain-containing protein 2-like","transcript_id=XM_022456835.1","","",""
"24","XM_022460137.1","sp","Q8C1Z8","TM10A_MOUSE",49.25,201,95,5,479,1075,88,283,6e-57,201,"NC_035781.1","Gnomon","mRNA",2305401,2305500,".","-",".","ID=rna6974;Parent=gene4134;Dbxref=GeneID:111119708,Genbank:XM_022460137.1;Name=XM_022460137.1;gbkey=mRNA;gene=LOC111119708;model_evidence=Supporting evidence includes similarity to: 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=tRNA methyltransferase 10 homolog A-like%2C transcript variant X1;transcript_id=XM_022460137.1","NC_035781.1",2305400,2305500,"DMR",-52,"ID=rna6974","Parent=gene4134","Dbxref=GeneID",111119708,"Genbank","Name=XM_022460137.1","gbkey=mRNA","gene=LOC111119708","model_evidence=Supporting evidence includes similarity to"," 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=tRNA methyltransferase 10 homolog A-like%2C transcript variant X1","transcript_id=XM_022460137.1","","",""
"25","XM_022460138.1","sp","Q8C1Z8","TM10A_MOUSE",49.25,201,95,5,389,985,88,283,5e-57,200,"NC_035781.1","Gnomon","mRNA",2305401,2305500,".","-",".","ID=rna6975;Parent=gene4134;Dbxref=GeneID:111119708,Genbank:XM_022460138.1;Name=XM_022460138.1;gbkey=mRNA;gene=LOC111119708;model_evidence=Supporting evidence includes similarity to: 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=tRNA methyltransferase 10 homolog A-like%2C transcript variant X2;transcript_id=XM_022460138.1","NC_035781.1",2305400,2305500,"DMR",-52,"ID=rna6975","Parent=gene4134","Dbxref=GeneID",111119708,"Genbank","Name=XM_022460138.1","gbkey=mRNA","gene=LOC111119708","model_evidence=Supporting evidence includes similarity to"," 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns","product=tRNA methyltransferase 10 homolog A-like%2C transcript variant X2","transcript_id=XM_022460138.1","","",""
"26","XM_022460139.1","sp","Q8C1Z8","TM10A_MOUSE",49.25,201,95,5,259,855,88,283,6e-57,199,"NC_035781.1","Gnomon","mRNA",2305401,2305500,".","-",".","ID=rna6973;Parent=gene4134;Dbxref=GeneID:111119708,Genbank:XM_022460139.1;Name=XM_022460139.1;gbkey=mRNA;gene=LOC111119708;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns;product=tRNA methyltransferase 10 homolog A-like%2C transcript variant X3;transcript_id=XM_022460139.1","NC_035781.1",2305400,2305500,"DMR",-52,"ID=rna6973","Parent=gene4134","Dbxref=GeneID",111119708,"Genbank","Name=XM_022460139.1","gbkey=mRNA","gene=LOC111119708","model_evidence=Supporting evidence includes similarity to"," 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=tRNA methyltransferase 10 homolog A-like%2C transcript variant X3","transcript_id=XM_022460139.1","","",""
