chr,DMLB.start,DMLB.end,strand,pvalue,qvalue,meth.diff,Uniprot,Genbank,evalue,Product,GO
NC_035784.1,64522412,64522412,+,1.598313e-13,5.935752e-12,-29.67161,Q01780,XM_022479829.1,0,exosome component 10-like,GO:0000166; GO:0000175; GO:0000176; GO:0000178; GO:0000184; GO:0000460; GO:0000467; GO:0000956; GO:0003723; GO:0003727; GO:0004532; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006364; GO:0009048; GO:0016020; GO:0032211; GO:0035327; GO:0070034; GO:0071028; GO:0071034; GO:0071035; GO:0071036; GO:0071037; GO:0071038; GO:0071039; GO:0071040; GO:0071044; GO:0071048; GO:0071051; GO:1904872
NC_035785.1,29756215,29756215,+,0.0004134566,0.002123635,20.16807,Q1RMT1,XM_022434536.1,2e-32,TFIIH basal transcription factor complex helicase XPB subunit-like,GO:0000112; GO:0000717; GO:0003677; GO:0004003; GO:0005524; GO:0005669; GO:0005675; GO:0006265; GO:0006281; GO:0006283; GO:0006289; GO:0006366; GO:0006367; GO:0006915; GO:0006979; GO:0008022; GO:0008104; GO:0008134; GO:0008353; GO:0009411; GO:0009650; GO:0016887; GO:0033683; GO:0035315; GO:0043065; GO:0043138; GO:0045944; GO:0047485; GO:0048568; GO:0097550; GO:1901990
NC_035787.1,5674676,5674676,+,1.150129e-07,1.521856e-06,22.72741,Q1LZ75,XM_022442625.1,7e-89,DNA excision repair protein ERCC-1-like,GO:0000014; GO:0000109; GO:0000110; GO:0000710; GO:0000720; GO:0000784; GO:0001094; GO:0001302; GO:0003684; GO:0003697; GO:0005669; GO:0005829; GO:0006295; GO:0006296; GO:0006303; GO:0006312; GO:0006949; GO:0006979; GO:0007283; GO:0008022; GO:0008283; GO:0008584; GO:0009650; GO:0010165; GO:0010259; GO:0019904; GO:0032205; GO:0035166; GO:0035264; GO:0036297; GO:0045190; GO:0048477; GO:0061819; GO:0070522; GO:0070914; GO:0090656; GO:1904431; GO:1905765; GO:1990599
NC_035783.1,55138496,55138496,+,5.535798e-07,6.287943e-06,-23.87958,O88700,XM_022478377.1,0,Bloom syndrome protein homolog,GO:0000079; GO:0000228; GO:0000400; GO:0000403; GO:0000405; GO:0000723; GO:0000724; GO:0000729; GO:0000781; GO:0000800; GO:0001673; GO:0002039; GO:0003677; GO:0003678; GO:0003697; GO:0004003; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005657; GO:0005694; GO:0005730; GO:0005737; GO:0005829; GO:0006260; GO:0006268; GO:0006281; GO:0006310; GO:0006974; GO:0007095; GO:0008026; GO:0008094; GO:0008270; GO:0009378; GO:0010165; GO:0016363; GO:0016605; GO:0016887; GO:0031297; GO:0032508; GO:0035690; GO:0036310; GO:0042803; GO:0043140; GO:0044806; GO:0045120; GO:0045893; GO:0045910; GO:0045950; GO:0046632; GO:0046641; GO:0051098; GO:0051259; GO:0051260; GO:0051276; GO:0051782; GO:0051880; GO:0061749; GO:0061820; GO:0061821; GO:0070244; GO:0071479; GO:0072711; GO:0072757; GO:0090329; GO:1905168; GO:1905773; GO:1990414
NC_035783.1,51859951,51859951,+,2.980023e-12,9.121422e-11,18.56827,P70099,XM_022473810.1,0,DNA repair protein RAD51 homolog 1,GO:0000150; GO:0000228; GO:0000722; GO:0000724; GO:0000730; GO:0000784; GO:0000793; GO:0000794; GO:0000800; GO:0001932; GO:0003682; GO:0003690; GO:0003697; GO:0005524; GO:0005634; GO:0005737; GO:0005759; GO:0005815; GO:0006268; GO:0006974; GO:0010569; GO:0010833; GO:0036297; GO:0043142; GO:0048471; GO:0051321; GO:0070192; GO:0071479; GO:0072711; GO:0072757; GO:1990414; GO:1990426
NC_035781.1,3102684,3102684,+,0.01927414,0.0486572,-10.59368,O70201,XM_022459548.1,4e-41,baculoviral IAP repeat-containing protein 5-like,GO:0000086; GO:0000226; GO:0000228; GO:0000281; GO:0000775; GO:0000777; GO:0005634; GO:0005737; GO:0005814; GO:0005829; GO:0005876; GO:0005881; GO:0006468; GO:0007059; GO:0007094; GO:0007346; GO:0008017; GO:0008270; GO:0008536; GO:0015631; GO:0016324; GO:0019899; GO:0030496; GO:0031021; GO:0031503; GO:0031536; GO:0032133; GO:0042802; GO:0042803; GO:0043027; GO:0043066; GO:0043154; GO:0043524; GO:0045787; GO:0045892; GO:0045931; GO:0046982; GO:0048037; GO:0051087; GO:0051301; GO:0051303; GO:0061178; GO:0061469; GO:0090307
NC_035780.1,42709129,42709129,+,5.770812e-08,8.143912e-07,-36.3354,P24941,XM_022462729.1,6e-165,cyclin-dependent kinase 2-like,GO:0000082; GO:0000086; GO:0000122; GO:0000287; GO:0000307; GO:0000781; GO:0000793; GO:0000805; GO:0000806; GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005768; GO:0005813; GO:0005829; GO:0006260; GO:0006281; GO:0006468; GO:0006813; GO:0006977; GO:0007099; GO:0007265; GO:0008284; GO:0010389; GO:0015030; GO:0016572; GO:0018105; GO:0019904; GO:0030332; GO:0031145; GO:0031571; GO:0032298; GO:0045893; GO:0051298; GO:0051301; GO:0051321; GO:0060968; GO:0071732; GO:0097123; GO:0097124; GO:0097134; GO:0097135; GO:0097472; GO:1901796
NC_035784.1,82758377,82758377,+,9.473737e-27,1.843687e-24,-20.70565,Q8C5S7,XM_022482673.1,4e-27,meiotic recombination protein REC8 homolog,GO:0000724; GO:0000778; GO:0000780; GO:0000793; GO:0000794; GO:0000795; GO:0000800; GO:0001556; GO:0001673; GO:0003682; GO:0005634; GO:0005654; GO:0006302; GO:0007062; GO:0007129; GO:0007130; GO:0007141; GO:0007286; GO:0009566; GO:0030893; GO:0034991; GO:0051321; GO:0072520
NC_035782.1,52607937,52607937,+,1.175645e-09,2.315196e-08,20.12852,Q3ZC01,XM_022470304.1,4e-143,CCR4-NOT transcription complex subunit 7-like,GO:0000122; GO:0000175; GO:0000289; GO:0000290; GO:0000932; GO:0003714; GO:0003723; GO:0004532; GO:0004535; GO:0008134; GO:0008284; GO:0008285; GO:0016607; GO:0017148; GO:0030014; GO:0030015; GO:0031047; GO:0033962; GO:0042509; GO:0043928; GO:0045070; GO:0045944; GO:0046872; GO:0051607; GO:0060213; GO:0060339; GO:0075341; GO:1900153
NC_035783.1,17494159,17494159,+,9.65635e-17,5.553635e-15,20.70769,Q8TCS8,XM_022479421.1,0,polyribonucleotide nucleotidyltransferase 1,GO:0000175; GO:0000957; GO:0000958; GO:0000962; GO:0000963; GO:0000964; GO:0000965; GO:0003723; GO:0004654; GO:0005634; GO:0005737; GO:0005739; GO:0005758; GO:0005789; GO:0005829; GO:0006401; GO:0006402; GO:0008266; GO:0034046; GO:0034599; GO:0035198; GO:0035458; GO:0035927; GO:0035928; GO:0042788; GO:0043457; GO:0043631; GO:0045025; GO:0045926; GO:0051260; GO:0051591; GO:0060416; GO:0061014; GO:0070207; GO:0070584; GO:0071042; GO:0071850; GO:0097222; GO:0097421; GO:2000627; GO:2000772
NC_035786.1,594778,594778,+,5.95435e-14,2.349444e-12,-35.05416,O08837,XM_022437282.1,0,cell division cycle 5-like protein,GO:0000086; GO:0000278; GO:0000398; GO:0000974; GO:0000977; GO:0001222; GO:0001228; GO:0003723; GO:0005634; GO:0005662; GO:0006281; GO:0006355; GO:0008157; GO:0016607; GO:0019901; GO:0032993; GO:0043522; GO:0044344; GO:0048471; GO:0071007; GO:0071352; GO:0071987; GO:0072422; GO:1904568; GO:1990090; GO:1990646
NC_035783.1,19804733,19804733,+,6.749043e-19,5.132037e-17,15.95211,P25490,XM_022473301.1,3e-103,transcriptional repressor protein YY1-like,GO:0000122; GO:0000400; GO:0000724; GO:0000790; GO:0000978; GO:0000980; GO:0000981; GO:0000987; GO:0001158; GO:0001227; GO:0003677; GO:0003700; GO:0003713; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006357; GO:0006403; GO:0006974; GO:0007283; GO:0008270; GO:0009952; GO:0010225; GO:0010629; GO:0016363; GO:0016579; GO:0030154; GO:0031011; GO:0031519; GO:0032688; GO:0034644; GO:0034696; GO:0043565; GO:0044212; GO:0045944; GO:0046332; GO:0048593; GO:0051276; GO:0061052; GO:0071347; GO:1902894
NC_035784.1,68962030,68962030,+,6.513104e-05,0.0004335647,-9.496891,P28715,XM_022486180.1,4e-62,DNA repair protein complementing XP-G cells homolog,GO:0000109; GO:0000405; GO:0000993; GO:0003690; GO:0003697; GO:0004520; GO:0005634; GO:0005654; GO:0006283; GO:0006289; GO:0006293; GO:0006294; GO:0006295; GO:0006296; GO:0009411; GO:0009650; GO:0010225; GO:0033683; GO:0042803; GO:0043066; GO:0044877; GO:0046872; GO:0047485
NC_035784.1,22074268,22074268,+,3.665533e-05,0.0002622792,-10.6209,Q9Y5B0,XM_022488866.1,1e-77,RNA polymerase II subunit A C-terminal domain phosphatase-like,GO:0000922; GO:0001096; GO:0004721; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0006366; GO:0006368; GO:0006470; GO:0008420; GO:0010458; GO:0030496; GO:0030957; GO:0032991; GO:0043231; GO:0043923; GO:0050434; GO:0051233; GO:0051301; GO:0061052; GO:0070940
NC_035782.1,72792067,72792067,+,0.4693896,0.4521762,3.441558,Q4QR75,XM_022466598.1,1e-126,exosome complex component RRP45-like,GO:0000176; GO:0000177; GO:0000178; GO:0000228; GO:0000467; GO:0001102; GO:0005654; GO:0005730; GO:0016075; GO:0017091; GO:0030307; GO:0034427; GO:0034473; GO:0034475; GO:0034476; GO:0035925; GO:0043928; GO:0045944; GO:0071028; GO:0071035; GO:0071038; GO:0071042
NC_035781.1,30729186,30729186,+,3.710479e-29,9.331945e-27,-34.35461,Q9NYV6,XM_022457742.1,2e-127,RNA polymerase I-specific transcription initiation factor RRN3-like,GO:0001042; GO:0001164; GO:0001181; GO:0001701; GO:0005634; GO:0005654; GO:0005730; GO:0006361; GO:0007000; GO:0007028; GO:0008283; GO:0010976; GO:0042254; GO:0045893; GO:0048872; GO:1902254; GO:2000142
NC_035783.1,619974,619974,+,0.0001036667,0.0006491443,11.95652,Q91XE9,XM_022474843.1,6e-30,cyclic AMP-responsive element-binding protein 3-like protein 3,GO:0000976; GO:0000977; GO:0001228; GO:0005634; GO:0005654; GO:0005783; GO:0005789; GO:0005829; GO:0016020; GO:0016021; GO:0030968; GO:0035497; GO:0042803; GO:0045944; GO:0046982; GO:1990440
NC_035784.1,17294377,17294377,+,6.667244e-15,2.993905e-13,-31.53846,Q75NR7,XM_022487484.1,0,ATP-dependent DNA helicase Q4-like,GO:0000405; GO:0000723; GO:0000724; GO:0000733; GO:0000781; GO:0001501; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0006260; GO:0006268; GO:0006281; GO:0006310; GO:0008270; GO:0008284; GO:0009378; GO:0032357; GO:0032508; GO:0036310; GO:0043140; GO:0043473; GO:0045875; GO:0048705; GO:0061820; GO:0061821
NC_035785.1,20525746,20525746,+,1.010727e-09,2.015238e-08,33.13698,P35398,XM_022431832.1,5e-17,vitamin D3 receptor-like,GO:0000977; GO:0000978; GO:0000981; GO:0001222; GO:0001223; GO:0001228; GO:0001525; GO:0003677; GO:0003700; GO:0003707; GO:0004879; GO:0005634; GO:0005654; GO:0006355; GO:0006367; GO:0006805; GO:0006809; GO:0008013; GO:0008134; GO:0008142; GO:0008270; GO:0008589; GO:0010575; GO:0010906; GO:0019218; GO:0019221; GO:0021702; GO:0021930; GO:0030522; GO:0032922; GO:0036315; GO:0042632; GO:0042692; GO:0042753; GO:0043030; GO:0043124; GO:0043565; GO:0045599; GO:0045893; GO:0045944; GO:0046068; GO:0050728; GO:0060850; GO:0070328; GO:0071347; GO:0071356; GO:0071456; GO:0072539; GO:0098531
NC_035782.1,74935630,74935630,+,3.219586e-05,0.0002341376,-29.10603,P42232,XM_022467871.1,9e-21,signal transducer and activator of transcription 5A-like,GO:0000978; GO:0001228; GO:0001553; GO:0001779; GO:0001889; GO:0003677; GO:0003682; GO:0003690; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006355; GO:0006357; GO:0006366; GO:0006952; GO:0006953; GO:0007259; GO:0007548; GO:0007565; GO:0007595; GO:0008284; GO:0019218; GO:0019221; GO:0019530; GO:0019915; GO:0030155; GO:0030856; GO:0032355; GO:0032496; GO:0032819; GO:0032825; GO:0032870; GO:0033077; GO:0035259; GO:0040014; GO:0040018; GO:0042104; GO:0042127; GO:0042448; GO:0043029; GO:0043066; GO:0043434; GO:0043565; GO:0045086; GO:0045579; GO:0045588; GO:0045621; GO:0045647; GO:0045648; GO:0045931; GO:0045944; GO:0045954; GO:0046543; GO:0046544; GO:0046983; GO:0048541; GO:0048661; GO:0050729; GO:0051272; GO:0060397; GO:0070669; GO:0070670; GO:0070672; GO:0071363; GO:0071364; GO:0097531
NC_035781.1,13841648,13841648,+,7.167194e-17,4.192605e-15,32.07204,Q15750,XM_022457267.1,1e-117,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1-like,GO:0000185; GO:0000187; GO:0001701; GO:0002223; GO:0002755; GO:0003007; GO:0003279; GO:0004722; GO:0004724; GO:0005634; GO:0005829; GO:0007179; GO:0007249; GO:0007254; GO:0008047; GO:0010008; GO:0016579; GO:0016607; GO:0030295; GO:0030324; GO:0032991; GO:0035904; GO:0038095; GO:0044877; GO:0048273; GO:0051092; GO:0060976; GO:0070423; GO:0070498
NC_035784.1,75130064,75130064,+,2.658033e-07,3.237739e-06,13.58303,Q06190,XM_022487070.1,0,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like,GO:0000159; GO:0001754; GO:0005509; GO:0006470; GO:0007525; GO:0019888; GO:0030674; GO:0045732; GO:0061053; GO:0090090; GO:0090244; GO:0090249; GO:0090263
NC_035787.1,12594855,12594855,+,3.705391e-21,3.724655e-19,-30.46778,O35161,XM_022441644.1,6e-89,cadherin EGF LAG seven-pass G-type receptor 1-like,GO:0001702; GO:0001736; GO:0001764; GO:0001843; GO:0001942; GO:0004888; GO:0004930; GO:0005509; GO:0005654; GO:0005886; GO:0005887; GO:0007156; GO:0007165; GO:0007186; GO:0007266; GO:0007267; GO:0007417; GO:0007626; GO:0009952; GO:0016020; GO:0032956; GO:0042060; GO:0042249; GO:0042472; GO:0045176; GO:0046928; GO:0046983; GO:0048105; GO:0060488; GO:0060489; GO:0060490; GO:0090179; GO:0090251; GO:0098609
NC_035783.1,42609142,42609142,+,0.003570451,0.01279453,10.42417,Q5E9G1,XM_022478705.1,0,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like,GO:0000226; GO:0001782; GO:0002759; GO:0005634; GO:0005794; GO:0005813; GO:0005819; GO:0005829; GO:0030865; GO:0032147; GO:0035303; GO:0043029; GO:0045579; GO:0046872; GO:0048536; GO:0051900
NC_035780.1,16706889,16706889,+,0.007904609,0.02424484,8.447205,Q07813,XM_022436107.1,2e-33,apoptosis regulator BAX-like,GO:0001541; GO:0001764; GO:0001776; GO:0001777; GO:0001782; GO:0001783; GO:0001822; GO:0001836; GO:0001844; GO:0001974; GO:0002262; GO:0002352; GO:0002358; GO:0002904; GO:0005634; GO:0005635; GO:0005737; GO:0005739; GO:0005741; GO:0005757; GO:0005783; GO:0005789; GO:0005829; GO:0006687; GO:0006808; GO:0006915; GO:0006919; GO:0006974; GO:0007007; GO:0007008; GO:0007281; GO:0007283; GO:0007399; GO:0007548; GO:0008053; GO:0008283; GO:0008285; GO:0008289; GO:0008584; GO:0008625; GO:0008630; GO:0008635; GO:0008637; GO:0009566; GO:0009611; GO:0009636; GO:0009651; GO:0009791; GO:0010212; GO:0010248; GO:0010332; GO:0010524; GO:0010917; GO:0015267; GO:0016021; GO:0016032; GO:0021854; GO:0021987; GO:0030544; GO:0031072; GO:0031966; GO:0032091; GO:0032461; GO:0032471; GO:0032976; GO:0033137; GO:0033599; GO:0034644; GO:0035108; GO:0035234; GO:0042475; GO:0042802; GO:0042803; GO:0043065; GO:0043281; GO:0043496; GO:0043497; GO:0043523; GO:0043524; GO:0043525; GO:0043653; GO:0044877; GO:0045136; GO:0045333; GO:0046666; GO:0046930; GO:0046982; GO:0048087; GO:0048147; GO:0048471; GO:0048515; GO:0048597; GO:0048678; GO:0048872; GO:0048873; GO:0051087; GO:0051259; GO:0051260; GO:0051281; GO:0051400; GO:0051402; GO:0051434; GO:0051726; GO:0060011; GO:0060041; GO:0060058; GO:0060068; GO:0070059; GO:0070242; GO:0070584; GO:0071310; GO:0071944; GO:0072332; GO:0090200; GO:0097136; GO:0097144; GO:0097190; GO:0097191; GO:0097192; GO:0097193; GO:0097296; GO:1900103; GO:1902108; GO:1902110; GO:1902262; GO:1902263; GO:1902445; GO:1902512; GO:1990117; GO:2001234; GO:2001241; GO:2001244
NC_035782.1,18397533,18397533,+,8.105793e-12,2.319704e-10,-19.60589,Q06546,XM_022470484.1,2e-118,GA-binding protein alpha chain-like,GO:0000122; GO:0000790; GO:0000978; GO:0000981; GO:0001228; GO:0001825; GO:0003677; GO:0003682; GO:0003700; GO:0003713; GO:0005634; GO:0005654; GO:0006357; GO:0006366; GO:0007005; GO:0010628; GO:0030154; GO:0033613; GO:0044212; GO:0045653; GO:0045944; GO:0046982; GO:1903351
NC_035786.1,46954819,46954819,+,2.039902e-05,0.0001568998,-20.53243,O95835,XM_022436458.1,0,serine/threonine-protein kinase LATS1-like,GO:0000082; GO:0000086; GO:0000287; GO:0000819; GO:0000922; GO:0001827; GO:0001828; GO:0004674; GO:0005524; GO:0005815; GO:0005829; GO:0006468; GO:0009755; GO:0018105; GO:0019901; GO:0030216; GO:0030331; GO:0030833; GO:0033138; GO:0033146; GO:0034613; GO:0035329; GO:0035556; GO:0043065; GO:0043254; GO:0045736; GO:0046620; GO:0051220; GO:0051301; GO:0060644; GO:0090090; GO:2000058
NC_035785.1,29779390,29779390,+,0.0003069586,0.001649295,-18.95629,Q9NZN8,XM_022434529.1,1e-124,CCR4-NOT transcription complex subunit 2-like,GO:0000122; GO:0000289; GO:0000932; GO:0001226; GO:0001829; GO:0003712; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006357; GO:0006977; GO:0010606; GO:0016020; GO:0017148; GO:0030014; GO:0030015; GO:0031047; GO:0033147; GO:0090503; GO:2000036
NC_035782.1,50702608,50702608,+,0.01893643,0.04800303,-7.933458,Q9Z255,XM_022470682.1,4e-81,ubiquitin-conjugating enzyme E2-17 kDa,GO:0000209; GO:0000785; GO:0000790; GO:0001701; GO:0001741; GO:0001835; GO:0004842; GO:0005524; GO:0006281; GO:0008284; GO:0009411; GO:0016567; GO:0031625; GO:0033503; GO:0033522; GO:0043161; GO:0051865; GO:0060135; GO:0061631; GO:0070936; GO:0070979
NC_035781.1,2430984,2430984,+,7.776681e-11,1.893255e-09,-13.45276,Q8K2Y9,XM_022460845.1,1e-37,cerebral cavernous malformations protein 2 homolog,GO:0001568; GO:0001570; GO:0001701; GO:0001885; GO:0001944; GO:0005737; GO:0005739; GO:0007507; GO:0032991; GO:0035264; GO:0045216; GO:0048839; GO:0048845; GO:0060039; GO:0060837; GO:0061154
